alr_comp1,alr_comp2,coord_x,coord_y,profund_inf,profund_sup,relevo_elevacao,prop1_areia,prop2_argila,prop3_silte
1.0498221244986776,1.1895840668738364,-46.9166666666667,-19.6666666666667,20.0,0.0,1120,0.4,0.46,0.14
1.1260112628562242,1.4469189829363254,-46.9166666666667,-19.6666666666667,70.0,20.0,1120,0.37,0.51,0.12
1.3609765531356006,1.62924053973028,-46.9166666666667,-19.6666666666667,115.0,70.0,1120,0.39,0.51,0.1
1.4663370687934272,1.7540191412452082,-46.9166666666667,-19.6666666666667,170.0,115.0,1120,0.39,0.52,0.09
1.2809338454620642,1.6863989535702288,-46.9166666666667,-19.6666666666667,195.0,170.0,1120,0.36,0.54,0.1
1.6357552207514738,-0.6286086594223742,-46.9003313205324,-19.483645212943,30.0,0.0,850,0.77,0.08,0.15
1.0033021088637848,-0.20067069546215124,-46.9003313205324,-19.483645212943,140.0,30.0,850,0.6,0.18,0.22
0.7404000654104909,-2.0476928433652555,-46.9003313205324,-19.483645212943,190.0,140.0,850,0.65,0.04,0.31
-1.1921383466789333,-0.7295148247308202,-46.9,-18.9833333333333,30.0,0.0,931,0.17,0.27,0.56
-0.27029032973991185,-0.14107859825990549,-46.9,-18.9833333333333,70.0,30.0,931,0.29,0.33,0.38
1.2299482907291965,-0.17185025692665928,-46.9,-18.9833333333333,90.0,70.0,931,0.65,0.16,0.19
0.12260232209233228,0.7963314167951762,-49.3166666666667,-19.8,25.0,0.0,1170,0.26,0.51,0.23
-0.21130909366720677,1.0826119473216687,-49.3166666666667,-19.8,70.0,40.0,1170,0.17,0.62,0.21
-0.4054651081081643,1.6094379124341003,-46.6833333333333,-18.5,25.0,0.0,1030,0.1,0.75,0.15
0,2.209494669928034,-46.6833333333333,-18.5,60.0,25.0,1030,0.09,0.82,0.09
0.251314428280906,2.4849066497880004,-46.6833333333333,-18.5,100.0,60.0,1030,0.09,0.84,0.07
-2.2617630984737906,-0.02105340919783238,-45.8836184954784,-18.5836321114547,10.0,0.0,750,0.05,0.47,0.48
2.3581549441488563,0.998528830111127,-45.8836184954784,-18.5836321114547,60.0,10.0,750,0.74,0.19,0.07
2.1972245773362196,0.9162907318741551,-45.8836184954784,-18.5836321114547,100.0,60.0,750,0.72,0.2,0.08
2.001480000210124,0.47000362924573547,-46.0833333333333,-18.6166666666667,28.0,0.0,850,0.74,0.16,0.1
1.9061698204057993,0.31015492830383945,-46.0833333333333,-18.6166666666667,55.0,28.0,850,0.74,0.15,0.11
1.6835458845878222,0.26826398659467937,-46.0833333333333,-18.6166666666667,95.0,55.0,850,0.7,0.17,0.13
-1.8191584434161694,0.4321333551903256,-46.05,-18.6833333333333,24.0,0.0,770,0.06,0.57,0.37
-1.845826690498331,0.38776553100876354,-46.05,-18.6833333333333,50.0,24.0,770,0.06,0.56,0.38
-0.916290731874155,-0.5108256237659907,-46.1666666666667,-19.7833333333333,25.0,0.0,970,0.2,0.3,0.5
-1.540445040947149,0.15415067982725836,-46.1666666666667,-19.7833333333333,70.0,25.0,970,0.09,0.49,0.42
-0.44183275227903934,1.7047480922384253,-46.6,-18.6666666666667,25.0,0.0,870,0.09,0.77,0.14
-0.8266785731844678,1.5712166996139025,-46.6,-18.6666666666667,60.0,25.0,870,0.07,0.77,0.16
-0.6931471805599453,1.7303905228517629,-46.6,-18.6666666666667,100.0,60.0,870,0.07,0.79,0.14
0.10008345855698243,1.1499055830556602,-46.6,-19.55,20.0,0.0,950,0.21,0.6,0.19
0.27193371548364176,1.3705460041517514,-46.6,-19.55,40.0,20.0,950,0.21,0.63,0.16
0.05406722127027579,1.252762968495368,-46.6,-19.55,100.0,40.0,950,0.19,0.63,0.18
0.14310084364067324,1.7117167615545186,-46.3,-18.65,20.0,0.0,NA,0.15,0.72,0.13
0.49247648509779407,1.8647846042429448,-46.3,-18.65,100.0,80.0,NA,0.18,0.71,0.11
-0.11332868530700324,0.5179430915348545,-46.2666666666667,-18.6833333333333,40.0,0.0,980,0.25,0.47,0.28
0.998528830111127,1.232143681292632,-46.2666666666667,-18.6833333333333,100.0,40.0,980,0.38,0.48,0.14
-0.04445176257083392,0.8718389693033212,-46.2666666666667,-18.6833333333333,130.0,100.0,980,0.22,0.55,0.23
-0.3150810466398952,-0.027398974188114503,-46.25,-18.6833333333333,60.0,0.0,950,0.27,0.36,0.37
1.6894806201076369,0.6505875661411494,-46.1166666666667,-18.6833333333333,20.0,0.0,800,0.65,0.23,0.12
-1.0459685551826876,0.3011050927839216,-47.3666666666667,-18.6,25.0,0.0,900,0.13,0.5,0.37
-0.8472978603872036,0.3566749439387324,-47.3666666666667,-18.6,100.0,60.0,900,0.15,0.5,0.35
0.624154309072994,1.33500106673234,-46.55,-19.5666666666667,20.0,0.0,940,0.28,0.57,0.15
0.6931471805599453,1.5459245067117744,-46.55,-19.5666666666667,40.0,20.0,940,0.26,0.61,0.13
0.810930216216329,1.6259672143853108,-46.55,-19.5666666666667,100.0,40.0,940,0.27,0.61,0.12
-0.6325225587435105,0.46608972992459924,-46.1666666666667,-18.8833333333333,15.0,0.0,960,0.17,0.51,0.32
-0.950976289862045,-0.12062798778861475,-46.1666666666667,-18.8833333333333,40.0,15.0,960,0.17,0.39,0.44
-1.3862943611198906,1.6094379124341003,-46.6166666666667,-18.9166666666667,25.0,0.0,850,0.04,0.8,0.16
-1.2039728043259361,2.163323025660538,-46.6166666666667,-18.9166666666667,100.0,60.0,850,0.03,0.87,0.1
